time                     , close, cash              , sol               , equity            , signal, reason                                              , peak              , drawdown
2026-03-30 05:00:00+00:00, 83.55, 200.0             , 0.0               , 200.0             , HOLD  , No entry setup                                      , 200.0             , 0.0
2026-03-30 06:00:00+00:00, 83.39, 200.0             , 0.0               , 200.0             , HOLD  , No entry setup                                      , 200.0             , 0.0
2026-03-30 07:00:00+00:00, 83.94, 200.0             , 0.0               , 200.0             , HOLD  , No entry setup                                      , 200.0             , 0.0
2026-03-30 08:00:00+00:00, 84.45, 200.0             , 0.0               , 200.0             , HOLD  , No entry setup                                      , 200.0             , 0.0
2026-03-30 09:00:00+00:00, 84.06, 200.0             , 0.0               , 200.0             , HOLD  , No entry setup                                      , 200.0             , 0.0
2026-03-30 10:00:00+00:00, 83.81, 150.0             , 0.5936075617497882, 199.75024975024974, BUY   , "EMA fast > EMA slow, close > EMA fast, RSI healthy", 200.0             , -0.0012487512487513452
2026-03-30 11:00:00+00:00, 84.16, 150.0             , 0.5936075617497882, 199.95801239686216, HOLD  , Position still valid                                , 200.0             , -0.0002099380156892483
2026-03-30 12:00:00+00:00, 84.42, 150.0             , 0.5936075617497882, 200.11235036291714, HOLD  , Position still valid                                , 200.11235036291714, 0.0
2026-03-30 13:00:00+00:00, 83.93, 150.0             , 0.5936075617497882, 199.82148265765971, HOLD  , Position still valid                                , 200.11235036291714, -0.0014535220076618005
2026-03-30 14:00:00+00:00, 84.34, 150.0             , 0.5936075617497882, 200.06486175797716, HOLD  , Position still valid                                , 200.11235036291714, -0.0002373097155365933
2026-03-30 15:00:00+00:00, 84.45, 150.0             , 0.5936075617497882, 200.13015858976962, HOLD  , Position still valid                                , 200.13015858976962, 0.0
2026-03-30 16:00:00+00:00, 84.17, 150.0             , 0.5936075617497882, 199.96394847247967, HOLD  , Position still valid                                , 200.13015858976962, -0.0008305100963350576
2026-03-30 17:00:00+00:00, 83.17, 150.0             , 0.5936075617497882, 199.37034091072988, HOLD  , Position still valid                                , 200.13015858976962, -0.003796617583246009
2026-03-30 18:00:00+00:00, 82.57, 150.0             , 0.5936075617497882, 199.01417637368002, HOLD  , Position still valid                                , 200.13015858976962, -0.0055762820753926245
2026-03-30 19:00:00+00:00, 82.33, 198.627547492908  , 0.0               , 198.627547492908  , SELL  , ATR stop loss hit                                   , 200.13015858976962, -0.007508169220720506
2026-03-30 20:00:00+00:00, 82.72, 198.627547492908  , 0.0               , 198.627547492908  , HOLD  , No entry setup                                      , 200.13015858976962, -0.007508169220720506
2026-03-30 21:00:00+00:00, 83.13, 198.627547492908  , 0.0               , 198.627547492908  , HOLD  , No entry setup                                      , 200.13015858976962, -0.007508169220720506
2026-03-30 22:00:00+00:00, 82.76, 198.627547492908  , 0.0               , 198.627547492908  , HOLD  , No entry setup                                      , 200.13015858976962, -0.007508169220720506
2026-03-30 23:00:00+00:00, 82.49, 198.627547492908  , 0.0               , 198.627547492908  , HOLD  , No entry setup                                      , 200.13015858976962, -0.007508169220720506
2026-03-31 00:00:00+00:00, 82.62, 198.627547492908  , 0.0               , 198.627547492908  , HOLD  , No entry setup                                      , 200.13015858976962, -0.007508169220720506
2026-03-31 01:00:00+00:00, 83.82, 148.970660619681  , 0.5894637374762448, 198.37951109493986, BUY   , "EMA fast > EMA slow, close > EMA fast, RSI healthy", 200.13015858976962, -0.008747544633781468
2026-03-31 02:00:00+00:00, 83.81, 148.970660619681  , 0.5894637374762448, 198.3736164575651 , HOLD  , Position still valid                                , 200.13015858976962, -0.008776998652187729
2026-03-31 03:00:00+00:00, 83.51, 148.970660619681  , 0.5894637374762448, 198.1967773363222 , HOLD  , Position still valid                                , 200.13015858976962, -0.00966061920437733
2026-03-31 04:00:00+00:00, 83.29, 148.970660619681  , 0.5894637374762448, 198.06709531407745, HOLD  , Position still valid                                , 200.13015858976962, -0.01030860760931629
2026-03-31 05:00:00+00:00, 83.67, 148.970660619681  , 0.5894637374762448, 198.2910915343184 , HOLD  , Position still valid                                , 200.13015858976962, -0.009189354909876268
2026-03-31 06:00:00+00:00, 83.32, 148.970660619681  , 0.5894637374762448, 198.08477922620173, HOLD  , Position still valid                                , 200.13015858976962, -0.010220245554097396
2026-03-31 07:00:00+00:00, 83.0 , 148.970660619681  , 0.5894637374762448, 197.89615083020934, HOLD  , Position still valid                                , 200.13015858976962, -0.011162774143099519
2026-03-31 08:00:00+00:00, 82.19, 197.17663887203605, 0.0               , 197.17663887203605, SELL  , ATR stop loss hit                                   , 200.13015858976962, -0.014757994190109813
2026-03-31 09:00:00+00:00, 80.44, 197.17663887203605, 0.0               , 197.17663887203605, HOLD  , No entry setup                                      , 200.13015858976962, -0.014757994190109813
2026-03-31 10:00:00+00:00, 80.41, 197.17663887203605, 0.0               , 197.17663887203605, HOLD  , No entry setup                                      , 200.13015858976962, -0.014757994190109813
2026-03-31 11:00:00+00:00, 80.79, 197.17663887203605, 0.0               , 197.17663887203605, HOLD  , No entry setup                                      , 200.13015858976962, -0.014757994190109813
2026-03-31 12:00:00+00:00, 80.71, 197.17663887203605, 0.0               , 197.17663887203605, HOLD  , No entry setup                                      , 200.13015858976962, -0.014757994190109813
2026-03-31 13:00:00+00:00, 81.73, 197.17663887203605, 0.0               , 197.17663887203605, HOLD  , No entry setup                                      , 200.13015858976962, -0.014757994190109813
2026-03-31 14:00:00+00:00, 80.57, 197.17663887203605, 0.0               , 197.17663887203605, HOLD  , No entry setup                                      , 200.13015858976962, -0.014757994190109813
2026-03-31 15:00:00+00:00, 80.75, 197.17663887203605, 0.0               , 197.17663887203605, HOLD  , No entry setup                                      , 200.13015858976962, -0.014757994190109813
2026-03-31 16:00:00+00:00, 82.27, 197.17663887203605, 0.0               , 197.17663887203605, HOLD  , No entry setup                                      , 200.13015858976962, -0.014757994190109813
2026-03-31 17:00:00+00:00, 82.29, 197.17663887203605, 0.0               , 197.17663887203605, HOLD  , No entry setup                                      , 200.13015858976962, -0.014757994190109813
